"","id","sport_id","name","home_team_type","container","league_specials_count","event_specials_count","event_count","has_offerings","homeTeamType"
"2257",263764,1,"Austria - SFV Cup","Team1","Austria",0,0,0,FALSE,"Team1"
"2258",263784,1,"England - Suffolk FA Premier Cup","Team1","England",0,0,0,FALSE,"Team1"
"2259",263905,1,"Taiwan - President FA Cup - Corners","Team1","Taiwan",0,0,0,FALSE,"Team1"
"2260",263876,1,"Chinese Taipei - Presidents Cup","Team1","Taiwan",0,0,0,FALSE,"Team1"
"2261",263906,1,"Taiwan - President FA Cup - Bookings","Team1","Taiwan",0,0,0,FALSE,"Team1"
"2262",263917,1,"Bosnia and Herzegovina - U19 League - Corners","Team1","Bosnia and Herzegovina",0,0,0,FALSE,"Team1"
"2263",263918,1,"Bosnia and Herzegovina - U19 League - Bookings","Team1","Bosnia and Herzegovina",0,0,0,FALSE,"Team1"
"2264",263878,1,"Bosnia and Herzegovina - U19 League","Team1","Bosnia and Herzegovina",0,0,0,FALSE,"Team1"
"2265",264033,1," Myanmar - U21 League","Team1","Myanmar",0,0,0,FALSE,"Team1"
"2266",264073,1,"Peru - Liga 3 - Bookings","Team1","Peru",0,0,0,FALSE,"Team1"
"2267",264046,1,"Peru - Liga 3","Team1","Peru",0,0,0,FALSE,"Team1"
"2268",264072,1,"Peru - Liga 3 - Corners","Team1","Peru",0,0,0,FALSE,"Team1"
"2269",264050,1,"Chinese Taipei - President Cup Women","Team1","Taiwan",0,0,0,FALSE,"Team1"
"2270",264086,1,"Chinese Taipei - President Cup Women - Bookings","Team1","Taiwan",0,0,0,FALSE,"Team1"
"2271",264085,1,"Chinese Taipei - President Cup Women - Corners","Team1","Taiwan",0,0,0,FALSE,"Team1"
"2272",264315,1,"Cyprus - League Cup Women","Team1","Cyprus",0,0,0,FALSE,"Team1"
"2273",264640,1,"Brazil - Maranhense U20 - Corners","Team1","Brazil",0,0,0,FALSE,"Team1"
"2274",264487,1,"Brazil - Maranhense U20","Team1","Brazil",0,0,0,FALSE,"Team1"
"2275",264641,1,"Brazil - Maranhense U20 - Bookings","Team1","Brazil",0,0,0,FALSE,"Team1"
"2276",270523,1,"Zambia - Cup - Bookings","Team1","Zambia",0,0,0,FALSE,"Team1"
"2277",264647,1,"Zambia - Cup","Team1","Zambia",0,0,0,FALSE,"Team1"
"2278",270522,1,"Zambia - Cup - Corners","Team1","Zambia",0,0,0,FALSE,"Team1"
"2279",264818,1,"Hong Kong - U22 League FA Cup","Team1","Hong Kong",0,0,0,FALSE,"Team1"
"2280",270588,1,"Hong Kong - U22 League FA Cup - Corners","Team1","Hong Kong",0,0,0,FALSE,"Team1"
"2281",270589,1,"Hong Kong - U22 League FA Cup - Bookings","Team1","Hong Kong",0,0,0,FALSE,"Team1"
"2282",264819,1,"Serbia - Cup Women","Team1","Serbia",0,0,0,FALSE,"Team1"
"2283",270593,1,"Serbia - Cup Women - Corners","Team1","Serbia",0,0,0,FALSE,"Team1"
"2284",270594,1,"Serbia - Cup Women - Bookings","Team1","Serbia",0,0,0,FALSE,"Team1"
"2285",270919,1,"WAFU - Cup Women - Bookings","Team1","Africa",0,0,0,FALSE,"Team1"
"2286",270918,1,"WAFU - Cup Women - Corners","Team1","Africa",0,0,0,FALSE,"Team1"
"2287",270870,1,"WAFU - Cup Women","Team1","Africa",0,0,0,FALSE,"Team1"
"2288",271085,1,"Brazil - Cup Women","Team1","Brazil",0,0,0,FALSE,"Team1"
"2289",271143,1,"Brazil - Cup Women - Corners","Team1","Brazil",0,0,0,FALSE,"Team1"
"2290",271144,1,"Brazil - Cup Women - Bookings","Team1","Brazil",0,0,0,FALSE,"Team1"
"2291",270916,1,"Brazil - Copa do Brasil","Team1","Brazil",0,0,0,FALSE,"Team1"
"2292",271168,1,"Brazil - Copa do Brasil - Corners","Team1","Brazil",0,0,0,FALSE,"Team1"
"2293",271169,1,"Brazil - Copa do Brasil - Bookings","Team1","Brazil",0,0,0,FALSE,"Team1"
"2294",201155,1,"Romania - Liga 3","Team1","Romania",0,0,0,FALSE,"Team1"
"2295",264078,1,"Ethiopia - Cup","Team1","Ethiopia",0,0,0,FALSE,"Team1"
"2296",271246,1,"AFF - Championship Women U19","Team1","Southeast Asia",0,0,0,FALSE,"Team1"
